id,name
__setup__.region_-2142967377,"Wil, Toggenburg"
__setup__.region_-2142967379,"Region St. Gallen, AR, AI"
__setup__.region_-2142967382,"Glarus, Walensee"
__setup__.region_-2142967384,Thurgau
__setup__.region_-2142967385,Schaffhausen
__setup__.region_-2142967386,"Rheintal, Lichtenstein"
__setup__.region_-2142967387,"NW, OW, UR"
__setup__.region_-2143786434,_Ausland
__setup__.region_-2144059992,Zürcher Unterland
__setup__.region_-2144059995,"Winterthur, Tösstal"
__setup__.region_-2144059996,"Westschweiz Nord, Jura"
__setup__.region_-2144060001,Unterwallis
__setup__.region_-2144060003,Stadt Zürich
__setup__.region_-2144060004,Stadt Basel
__setup__.region_-2144060005,"Solothurn, Zofingen, Langenthal"
__setup__.region_-2144060006,Schwyz
__setup__.region_-2144060013,Region Stadt Bern
__setup__.region_-2144060016,Region Zürichsee
__setup__.region_-2144060018,"Region Mendrisiotto, Chiasso"
__setup__.region_-2144060019,Region Lugano
__setup__.region_-2144060020,Region Locarno
__setup__.region_-2144060021,"Region Limmattal, Knonaueramt"
__setup__.region_-2144060024,Region Leventina
__setup__.region_-2144060029,Region Bellinzona und GR it.
__setup__.region_-2144060030,"Region Baselland, Fricktal"
__setup__.region_-2144060032,Oberwallis
__setup__.region_-2144060034,Marchairuz
__setup__.region_-2144060036,"Le grand Vaud, Fribourg"
__setup__.region_-2144060037,Lausanne u. La Côte nord-est
__setup__.region_-2144060038,"Kloten, Glatttal bis ZH Oberland"
__setup__.region_-2144060039,Kanton Zug
__setup__.region_-2144060040,Graubünden (ohne Bergell und Puschlav)
__setup__.region_-2144060041,Genf u. La Côte sud-ouest
__setup__.region_-2144060042,"Entlebuch, Sempach"
__setup__.region_-2144060043,"Biel, Seeland"
__setup__.region_-2144060046,Berner Oberland
__setup__.region_-2144060047,"Bern Nordost, Oberaargau"
__setup__.region_-2144060048,Bergell und Puschlav
__setup__.region_-2144060049,Agglomeration und Stadt Luzern
__setup__.region_-2144060050,Aargau
